code_commune,nom_commune,code_departement,type_local,prix_m2_median,nb_ventes,loyer_m2,loyer_m2_estime,rendement_median
01001,L'Abergement-Clémenciat,01,Maison,2556.0,26,12.3757691187049,14.23,6.68
01002,L'Abergement-de-Varey,01,Appartement,3000.0,1,10.1925209893241,10.19,4.08
01002,L'Abergement-de-Varey,01,Maison,1826.0,8,10.1925209893241,11.72,7.7
01004,Ambérieu-en-Bugey,01,Appartement,2344.0,272,12.3202242790466,12.32,6.31
01004,Ambérieu-en-Bugey,01,Maison,2500.0,266,12.3202242790466,14.17,6.8
01005,Ambérieux-en-Dombes,01,Appartement,2684.0,48,12.3563798458525,12.36,5.53
01005,Ambérieux-en-Dombes,01,Maison,3100.0,60,12.3563798458525,14.21,5.5
01006,Ambléon,01,Appartement,10500.0,1,11.6543476511713,11.65,1.33
01006,Ambléon,01,Maison,1974.0,5,11.6543476511713,13.4,8.15
01007,Ambronay,01,Appartement,2111.0,3,10.1925209893241,10.19,5.79
01007,Ambronay,01,Maison,2208.0,100,10.1925209893241,11.72,6.37
01008,Ambutrix,01,Maison,2447.0,23,11.3829620451672,13.09,6.42
01009,Andert-et-Condon,01,Appartement,1159.0,3,13.2888391102502,13.29,13.76
01009,Andert-et-Condon,01,Maison,2013.0,15,13.2888391102502,15.28,9.11
01010,Anglefort,01,Appartement,3177.0,17,11.2044433312188,11.2,4.23
01010,Anglefort,01,Maison,2556.0,40,11.2044433312188,12.89,6.05
01011,Apremont,01,Appartement,2296.0,2,10.0479416015884,10.05,5.25
01011,Apremont,01,Maison,2298.0,6,10.0479416015884,11.56,6.04
01012,Aranc,01,Maison,1352.0,15,9.5706224021399,11.01,9.77
01013,Arandas,01,Appartement,894.0,1,10.0716396496637,10.07,13.52
01013,Arandas,01,Maison,1395.0,5,10.0716396496637,11.58,9.96
01014,Arbent,01,Appartement,1504.0,26,8.74346789255736,8.74,6.97
01014,Arbent,01,Maison,2110.0,38,8.74346789255736,10.05,5.72
01015,Arboys en Bugey,01,Appartement,1919.0,1,13.2888391102502,13.29,8.31
01015,Arboys en Bugey,01,Maison,1841.0,25,13.2888391102502,15.28,9.96
01016,Arbigny,01,Maison,2188.0,11,11.3835312177444,13.09,7.18
01017,Argis,01,Appartement,1364.0,3,8.7808699267534,8.78,7.72
01017,Argis,01,Maison,1338.0,32,8.7808699267534,10.1,9.06
01019,Armix,01,Maison,1551.0,2,9.5706224021399,11.01,8.52
01021,Ars-sur-Formans,01,Appartement,3208.0,5,12.3563798458525,12.36,4.62
01021,Ars-sur-Formans,01,Maison,3144.0,26,12.3563798458525,14.21,5.42
01022,Artemare,01,Appartement,1538.0,5,10.6514217366082,10.65,8.31
01022,Artemare,01,Maison,2190.0,52,10.6514217366082,12.25,6.71
01023,Asnières-sur-Saône,01,Maison,929.0,5,10.5998244527222,12.19,15.75
01024,Attignat,01,Appartement,2380.0,19,11.2851646156126,11.29,5.69
01024,Attignat,01,Maison,2272.0,76,11.2851646156126,12.98,6.86
01025,Bâgé-Dommartin,01,Appartement,1718.0,4,10.5998244527222,10.6,7.4
01025,Bâgé-Dommartin,01,Maison,2245.0,107,10.5998244527222,12.19,6.52
01026,Bâgé-le-Châtel,01,Appartement,2156.0,8,11.343558948125,11.34,6.31
01026,Bâgé-le-Châtel,01,Maison,2246.0,27,11.343558948125,13.05,6.97
01027,Balan,01,Appartement,3000.0,11,14.295892727145,14.3,5.72
01027,Balan,01,Maison,3217.0,37,14.295892727145,16.44,6.13
01028,Baneins,01,Appartement,3070.0,1,11.9884453230499,11.99,4.69
01028,Baneins,01,Maison,2612.0,18,11.9884453230499,13.79,6.34
01029,Beaupont,01,Appartement,1554.0,1,9.03529228297398,9.04,6.98
01029,Beaupont,01,Maison,1534.0,30,9.03529228297398,10.39,8.13
